文章類別,文章標題,文章內容,文章來源,日期,文章網址
八卦 ( Gossiping ),[新聞] 媽媽嘴咖啡逆風批押柯　經驗談：不找證據,1.媒體來源:蘋果2.記者署名:劉育良3.完整新聞標題:媽媽嘴咖啡逆風批押柯　經驗談：不找證據押人取供「是正義嗎」4.完整新聞內文:民眾黨主席柯文哲涉及京華城案，昨被法官裁定收押禁見。因員工謝依涵犯下八里雙屍案，而一度被認為也是殺人犯的媽媽嘴咖啡老闆呂炳宏，以自身經驗提出質疑，逆風直指裁定柯文哲收押是押人取供，「這是正義嗎？」八里雙屍案發生於2013年，呂炳宏今天下午在臉書發文表示，當年他被約談時接連遭到檢警以話語警告，記者的提問也直接認定就是他殺人，還好後來謝依涵當庭翻供，承認自己只是順著警察的問話瞎掰，他才得以以300萬元交保。事後檢方還說：「對不起死者。」呂炳宏內心疑惑：「沒羈押我叫對不起死者，查不出真相才是對不起死者吧！」呂炳宏表示，後來在搜索謝依涵男友家時，找到了她犯案的相關物證，不過搜索竟然是案發後1個月的事，連巷口攝影機畫面都已經沒了。後來檢察官還跟他說，「不用去告國賠，因為說你殺人的不是我是謝依涵。」從他被約談開始經歷1個多月，他終於洗清冤情獲得不起訴處分。「什麼是司法正義？」呂炳宏表示，自己後來在思考這個問題，對於民眾來說，看到他被警察上銬、記者追問時，大概95%的人都以為正義被彰顯，「但這是正義嗎？」那其實只是偵查的開始，「每10件被壓著走警察的督麥大道，只有3件被起訴，2件被定罪。沒有這個刑事訴訟法程序的保障，民眾看到督麥的心安正義，70%是錯誤的。」「逆風一下，我看柯案」，呂炳宏表示，羈押應該具備4項要件，一是犯罪嫌疑重大，但從法院裁定書來看，是「形式上」符合圖利要件，還究竟如何還要再查；二是法定羈押事由，沒有事實證明柯會逃亡、勾串證人，而是認定柯為了避免遭受重刑會這麼做；三是有羈押之必要，檢察官自然會說有必要；四是沒有不得羈押情況，要羈押當然不能交保。呂炳宏因為自身經驗，認識了許多在司改會當志工的冤錯案當事人，他指出，美國貪污定罪率高達9成，而台灣圖利罪定罪率約3成、貪污5成。因為台灣「形式上」嫌疑就羈押，法官也不管要件內的有沒有好處、甚至連自白都不用，檢察官直接先羈押再說，「這就是我們要的司法正義、程序正義嗎？」呂炳宏質疑，「不去修法明確要件、不去找除了自白外的證據、不去深入掌握證據、不去搜證鞏固證據...直接裁定『押人取供』...這種裁定才是破壞司法信任的罪魁禍首！」5.完整新聞連結 (或短網址)不可用YAHOO、LINE、MSN等轉載媒體:,PTT,2024-09-06,https://www.pttbrain.com/ptt/article/M.1725606231.A.F29
八卦 ( Gossiping ),[新聞] 「1500沈慶京」是柯文哲收了1500萬？,「1500沈慶京」是柯文哲收了1500萬？ 郭正亮解讀中時丁世傑 安全下莊--原文連結,PTT,2024-09-06,https://www.pttbrain.com/ptt/article/M.1725621737.A.EC3
八卦 ( Gossiping ),[新聞] 下個追殺誰？賴清德連任最大絆腳石　一面,TVBS下個追殺誰？連任最大絆腳石　一面倒「五星市長」危險了 陳希潔 報導發佈時間：2024/09/06 10:43最後更新時間：2024/09/06 10:43民眾黨主席柯文哲投身政治10年，從臺大醫院走到台北市長寶座，再成為台灣第三勢力，如今涉嫌圖利京華城容積率案，遭到羈押禁見，戴上手銬進入土城看守所，淪為階下囚。總統賴清德上任3個多月，政壇動盪不安，司法案件頻傳，許多網友好奇揣測，誰會是下一個落難的大咖，藍綠兩大黨都有人被點名。「下面一位，會是誰啦？」，柯文哲被收押的消息一出，網友立刻在PTT發文討論，短短半小時湧入超過上百則推文，直到今（6）日上午名單還在增加中，除了與賴清德同黨的蔡英文、蘇貞昌、陳其邁之外，國民黨的台中市長被認為可能挑戰2028，是賴清德連任最大的威脅，「盧吧，解決2028就保送了」、「盧大媽，因為侯沒威脅性，留著讓KMT推」、「盧秀燕：看我幹嘛」、「蔣還不成氣候，猴太好打，2028前一定先弄盧」。事實上，對於近期鄭文燦、柯文哲等人的案件，賴清德曾強調，尊重司法獨立性，行政不可以介入，也不宜對個案做任何評論，堅持不分黨派、不問何人，只要違法就鼓勵檢調單位依法查辦、毋枉毋縱的原則。現在柯文哲的支持者大舉湧入賴清德的臉書，灌爆怒罵是政治辦案，「沒看過白色恐怖，但綠色恐怖正在發生」、「清德宗，萬歲萬歲萬萬歲」、「高端、超思、光電，都應該好好的解釋解釋，為什麼不敢查，是怕一查民進黨超過一半的人都得進去嗎」。備註--原文連結,PTT,2024-09-06,https://www.pttbrain.com/ptt/article/M.1725600555.A.77D
八卦 ( Gossiping ),[新聞] 柯文哲被收押「北檢3點改攻圖利」　仍缺,ETtoday新聞雲 2024年09月06日 06:53柯文哲被收押「北檢3點改攻圖利」　仍缺關鍵收賄事證記者黃翊婷／綜合報導民眾黨主席柯文哲捲入圖利京華城容積暴增案，5日被收押。台北地檢署偵辦團隊抗告成功，並改變策略暫不論收賄罪，改專攻圖利罪的部分，提出3大證據包含部屬提醒違法的公文上有親簽核章等等，最後成功說服法官裁定羈押禁見柯文哲；然而，若接下來檢方無法補強收賄證據，柯是否會被判有罪仍有待觀察。 《東森新媒體ETtoday》提醒您：未經判決確定前，應推定為無罪。,PTT,2024-09-06,https://www.pttbrain.com/ptt/article/M.1725580015.A.DC2
八卦 ( Gossiping ),[新聞] 高雄國賓容積率1142%　市府急轉彎重新評,備註請放最後面 違者新聞文章刪除1.媒體來源:ETtoday新聞雲2.記者署名:記者賴文萱3.完整新聞標題:高雄國賓容積率1142%　市府急轉彎重新評估...陳其邁曝原因4.完整新聞內文: 65.71，從本來結構安全建物，變成危老。自救會質疑，如果111年國賓已是危老，又為何敢繼續營業到112年才歇業？另外，大陸建設在高雄市愛河畔國賓飯店舊址（商五用地容積840％），使用危老條例獎勵容積 36%，容積直接突破極限到容積 1142%。這讓愛河河岸出現58層 、52層兩棟巨大建築，自救會認為，超高的容積設計成 550 戶住家及二家店舖導致諸多衝擊，且基地位於土壤液化高潛勢區的威脅，容易導致鄰房施工安全的疑慮。針對高雄國賓改建引發兩側大樓住戶陳情，高雄市工務局表示，雖國賓是經內政部認可專業機構評估及審查，並依全國一致危老標準給予容積，但有鑒於本案涉及公共安全，工務局決定另委託內政部認可的第三方機構，對此案重新進行評估。工務局說，民眾陳情109年建物公安申報的耐震初評數值，和111年危老重建申請的耐震報告數值，兩者之間有落差，此是評定人使用學理不同所致。雖然內政部認可的台北市結構技師公會結構技師，對該建築高低樓層不同結構系統所做計算，方法符合學理也經公會查核完成，但為使此案之審查更為嚴謹，市府決定啟動委託第三方專業機構重新評估之作業。工務局強調，本案尚未完成申請建築執照程序，後續仍會透過都市設計審議、交通影響、環境影響評估、結構審查及建造執照等審查程序，嚴格把關危老重建計畫，維護市民權益。5.完整新聞連結 (或短網址)不可用YAHOO、LINE、MSN等轉載媒體:,PTT,2024-09-06,https://www.pttbrain.com/ptt/article/M.1725590602.A.6EC
八卦 ( Gossiping ),[新聞] 柯文哲羈押最大關鍵！遭檢搜索拒開門1小,NOWnews 今日新聞即時2.記者署名:記者林盈君／綜合報導3.完整新聞標題:柯文哲羈押最大關鍵！遭檢搜索拒開門1小時　手機疑刪除對話紀錄4.完整新聞內文:柯文哲涉京華城弊案，5日遭北院裁定羈押禁見，據裁定書指出，柯文哲與議員應曉薇便當會後，即積極介入京華城案，即便部屬多次提醒該案違法，柯仍執意簽章放行，另外，檢方也提供3大關鍵證據，分別是2021年北市議員諮詢資料、便當會細節、公文親簽核章等，加上柯的妻兒帳戶，確實出現不明資金，最後，檢調8月搜索柯文哲住家，柯文哲卻拒不開門近1小時，之後檢視其手機，發現疑似有刪除對話紀錄，北院認為此舉疑滅證，最終成為裁定收押關鍵。據了解，2020年3月間，柯文哲與應曉薇便當會後，即積極介入京華城案，無視部屬註記可能違法而親自核章。北院認為，柯任職台北市市長，對於必須親簽決行的公文，用印前本就應詳閱內容，且其手機對話截圖，也顯示柯對自己掌握的帳戶彼此間的金流都清楚，打臉其所述的「不知道」說詞。另外，柯文哲於涉犯圖利罪嫌後，仍與威京集團主席沈慶京會面，並於陶朱隱園唱歌，完全不避嫌，也確實有不明來源金流分別匯入柯的妻、兒帳戶。另外，8月30日，檢察官帶隊搜索柯文哲住家，但柯卻拒不開門，妨礙公務將近1小時之久，檢方扣押柯文哲的手機後，發現有刪除對話紀錄的痕跡，足認柯文哲在此期間有湮滅證據之虞。北院審視檢方提出的證據，認為恐有勾串及滅證之虞，因此裁定聲押禁見。5.完整新聞連結 (或短網址)不可用YAHOO、LINE、MSN等轉載媒體:,PTT,2024-09-06,https://www.pttbrain.com/ptt/article/M.1725582898.A.188
股票 ( Stock ),[閒聊] 2024/09/06 盤中閒聊,"==================113/09/06台股資訊重點整理，供股民做投資參考=================台　股　21187.71　▲ 94.96 (+0.45%)　3213.22億台指09　21183   　▲243    (+1.16%)　 84,736口盤後09　21362   　▲179    (+0.85%)　 85,568口台指期未平倉口數 自營商     -29 (-922) 投信 +22,480 (+54) 外資 -25,669 (3,847)台指選未平倉口數 自營商 +25214 (+24195) 投信 -146 (+100) 外資 -16,088 (+1,378)道瓊工業　那斯達克　17127.66　▲ 43.36 (+0.25%)標普 500　 費城半導 　==============================================================================資料來源：臺灣證券交易所、中央社-- (@Yachie_kaede)--我們的一生會遭遇各種各樣的意外，有的意外，只會讓你變得頹廢，一蹶不振；有的意外則會讓你找到另一個自己，重獲新生。……你要知道你是誰，你的拋棄和擁有，都是你自己的選擇，患得患失只會讓你身陷囹圄。　　　　　　　　　　　　　　　　　　　　——孫衍《願你出走半生，歸來仍是少年》--原文連結",PTT,2024-09-06,https://www.pttbrain.com/ptt/article/M.1725582603.A.1DD
八卦 ( Gossiping ),[問卦] 到現在還支持阿伯的是什麼人,我爸爸的哥哥我要叫阿伯講話白目白目的得罪很多人許多仇家都找上門連家人都受牽連到現在還能挺我阿伯的是什麼樣的人？--原文連結,PTT,2024-09-06,https://www.pttbrain.com/ptt/article/M.1725604448.A.6B3
八卦 ( Gossiping ),[新聞] 65歲達標！柯文哲關押期間獲「每天2桶」,1.媒體來源:ETtoday2.記者署名:黃哲民3.完整新聞標題:65歲達標！柯文哲關押期間獲「每天2桶」熱水洗澡　還可分給室友4.完整新聞內文:記者黃哲民、陳韻如／台北報導民眾黨主席柯文哲捲入京華城弊案，昨(5日)遭到法院裁定羈押禁見，被上銬帶往台北看守所，並入住3人房舍。據了解，因看守所熱水供應有管制，一般收容人洗澡時皆是洗冷水澡，不過依據規定，65歲以上老人及收容於病舍病人，所方則會提供熱水沐浴，而恰巧柯文哲今年8月剛滿65歲，獲得可洗熱水澡的資格。根據矯正署規定，為了維護收容人的基本人權，以及達到全面照護收容人身體健康及加強衛生保健所需，各矯正機關於每年12月1日起至次年2月底止的冬季期間，才會供應收容人適當溫度的熱水沐浴，其他時段(每年3月1日至11月30日止)則以每周2次，或於氣溫低於20度的開封日供應。另外，少年、女性、65歲以上高齡收容人、病舍病人及其他具有特殊保健需求的收容人，則可全年使用熱水沐浴。對此，北所表示，柯文哲今年8月生日剛滿65歲，他符合每日可洗熱水澡的資格，因此每天下午3點會由雜役送2桶熱水(家用一般中型水桶)至他的舍房，他要自用或是分給其他室友共用，所方則不會干涉。5.完整新聞連結 (或短網址):,PTT,2024-09-06,https://www.pttbrain.com/ptt/article/M.1725611952.A.872
八卦 ( Gossiping ),[新聞] 柯文哲羈押禁見 民進黨：尊重司法,柯文哲羈押禁見 民進黨：尊重司法,PTT,2024-09-06,https://www.pttbrain.com/ptt/article/M.1725559282.A.76D
